slno,state,confirm,cured,death,total
1,Andaman and Nicobar Islands,10764,10622,129,21515
2,Andhra Pradesh,2339785,2324711,14733,4679229
3,Arunachal Pradesh,66895,66596,296,133787
4,Assam,746112,738070,8035,1492217
5,Bihar,852078,839361,12304,1703743
6,Chandigarh,99924,98484,1184,199592
7,Chhattisgarh,1180122,1164205,14156,2358483
8,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,23184
9,Delhi,2021593,1990402,26560,4038555
10,Goa,261495,256823,4014,522332
11,Gujarat,1287037,1273722,11066,2571825
12,Haryana,1064273,1049814,10721,2124808
13,Himachal Pradesh,318616,312313,4229,635158
14,Jammu and Kashmir,480831,475326,4789,960946
15,Jharkhand,442844,437346,5332,885522
16,Karnataka,4081832,4039531,40335,8161698
17,Kerala,6866683,6775517,71688,13713888
18,Ladakh,29525,29266,231,59022
19,Lakshadweep,11415,11363,52,22830
20,Madhya Pradesh,1055595,1044537,10779,2110911
21,Maharashtra,8155189,8000665,148477,16304331
22,Manipur,139942,137784,2149,279875
23,Meghalaya,96811,95173,1625,193609
24,Mizoram,238974,238243,726,477943
25,Nagaland,35992,35207,782,71981
26,Odisha,1338980,1328214,9208,2676402
27,Puducherry,176812,174333,1978,353123
28,Punjab,788279,766395,19302,1573976
29,Rajasthan,1318628,1306890,9680,2635198
30,Sikkim,44478,43912,500,88890
31,Tamil Nadu,3601701,3560598,38055,7200354
32,Telangana,842932,838574,4111,1685617
33,Tripura,108037,107094,940,216071
34,Uttarakhand,450492,442440,7760,900692
35,Uttar Pradesh,2133503,2106790,23654,4263947
36,West Bengal,2119634,2097550,21533,4238717
